date,home_team,score,away_team
15-04-2023,America Mineiro,0 - 3,Fluminense FC
22-04-2023,Sao Paulo,3 - 0,America Mineiro
29-04-2023,Santos,3 - 2,America Mineiro
07-05-2023,America Mineiro,1 - 2,Cuiaba
10-05-2023,RB Bragantino,2 - 2,America Mineiro
14-05-2023,America Mineiro,0 - 4,Cruzeiro
20-05-2023,America Mineiro,2 - 1,Fortaleza EC
28-05-2023,Botafogo FR,2 - 0,America Mineiro
03-06-2023,America Mineiro,2 - 0,Corinthians
11-06-2023,America Mineiro,2 - 2,CA Paranaense
22-06-2023,Grêmio Porto Al,3 - 1,America Mineiro
25-06-2023,America Mineiro,1 - 2,Internacional RS
02-07-2023,Atletico Mineiro,2 - 2,America Mineiro
08-07-2023,Coritiba FBC,3 - 1,America Mineiro
22-07-2023,Flamengo RJ,1 - 1,America Mineiro
30-07-2023,America Mineiro,1 - 4,SE Palmeiras
06-08-2023,EC Bahia,3 - 1,America Mineiro
13-08-2023,America Mineiro,0 - 1,Goiás EC
19-08-2023,Fluminense FC,3 - 1,America Mineiro
27-08-2023,America Mineiro,2 - 1,Sao Paulo
03-09-2023,America Mineiro,2 - 0,Santos
15-09-2023,Cuiaba,2 - 2,America Mineiro
20-09-2023,America Mineiro,0 - 2,RB Bragantino
25-09-2023,America Mineiro,0 - 1,Vasco da Gama
01-10-2023,Cruzeiro,1 - 1,America Mineiro
08-10-2023,Fortaleza EC,? - ?,America Mineiro
16-04-2023,Atletico Mineiro,1 - 2,Vasco da Gama
23-04-2023,Santos,0 - 0,Atletico Mineiro
30-04-2023,Atletico Mineiro,2 - 1,CA Paranaense
07-05-2023,Botafogo FR,2 - 0,Atletico Mineiro
10-05-2023,Cuiaba,0 - 4,Atletico Mineiro
14-05-2023,Atletico Mineiro,2 - 0,Internacional RS
20-05-2023,Coritiba FBC,1 - 2,Atletico Mineiro
28-05-2023,Atletico Mineiro,1 - 1,SE Palmeiras
03-06-2023,Cruzeiro,0 - 1,Atletico Mineiro
10-06-2023,Atletico Mineiro,1 - 1,RB Bragantino
22-06-2023,Fluminense FC,1 - 1,Atletico Mineiro
24-06-2023,Fortaleza EC,2 - 1,Atletico Mineiro
02-07-2023,Atletico Mineiro,2 - 2,America Mineiro
08-07-2023,Atletico Mineiro,0 - 1,Corinthians
17-07-2023,Goiás EC,0 - 0,Atletico Mineiro
23-07-2023,Grêmio Porto Al,1 - 0,Atletico Mineiro
30-07-2023,Atletico Mineiro,1 - 2,Flamengo RJ
06-08-2023,Sao Paulo,0 - 2,Atletico Mineiro
13-08-2023,Atletico Mineiro,1 - 0,EC Bahia
20-08-2023,Vasco da Gama,1 - 0,Atletico Mineiro
27-08-2023,Atletico Mineiro,2 - 0,Santos
02-09-2023,CA Paranaense,1 - 1,Atletico Mineiro
17-09-2023,Atletico Mineiro,1 - 0,Botafogo FR
24-09-2023,Atletico Mineiro,1 - 0,Cuiaba
01-10-2023,Internacional RS,0 - 2,Atletico Mineiro
08-10-2023,Atletico Mineiro,? - ?,Coritiba FBC
15-04-2023,Botafogo FR,2 - 1,Sao Paulo
24-04-2023,EC Bahia,1 - 2,Botafogo FR
30-04-2023,Flamengo RJ,2 - 3,Botafogo FR
07-05-2023,Botafogo FR,2 - 0,Atletico Mineiro
11-05-2023,Botafogo FR,3 - 0,Corinthians
14-05-2023,Goiás EC,2 - 1,Botafogo FR
20-05-2023,Botafogo FR,1 - 0,Fluminense FC
28-05-2023,Botafogo FR,2 - 0,America Mineiro
03-06-2023,CA Paranaense,1 - 0,Botafogo FR
11-06-2023,Botafogo FR,2 - 0,Fortaleza EC
22-06-2023,Cuiaba,0 - 1,Botafogo FR
25-06-2023,SE Palmeiras,0 - 1,Botafogo FR
02-07-2023,Botafogo FR,2 - 0,Vasco da Gama
09-07-2023,Grêmio Porto Al,0 - 2,Botafogo FR
16-07-2023,Botafogo FR,2 - 0,RB Bragantino
23-07-2023,Santos,2 - 2,Botafogo FR
30-07-2023,Botafogo FR,4 - 1,Coritiba FBC
06-08-2023,Cruzeiro,0 - 0,Botafogo FR
13-08-2023,Botafogo FR,3 - 1,Internacional RS
19-08-2023,Sao Paulo,0 - 0,Botafogo FR
27-08-2023,Botafogo FR,3 - 0,EC Bahia
03-09-2023,Botafogo FR,1 - 2,Flamengo RJ
17-09-2023,Atletico Mineiro,1 - 0,Botafogo FR
22-09-2023,Corinthians,1 - 0,Botafogo FR
02-10-2023,Botafogo FR,1 - 1,Goiás EC
08-10-2023,Fluminense FC,? - ?,Botafogo FR
15-04-2023,CA Paranaense,2 - 0,Goiás EC
22-04-2023,Fluminense FC,2 - 0,CA Paranaense
30-04-2023,Atletico Mineiro,2 - 1,CA Paranaense
07-05-2023,CA Paranaense,2 - 1,Flamengo RJ
10-05-2023,Internacional RS,0 - 2,CA Paranaense
14-05-2023,CA Paranaense,3 - 2,Coritiba FBC
20-05-2023,RB Bragantino,2 - 0,CA Paranaense
27-05-2023,CA Paranaense,1 - 2,Grêmio Porto Al
03-06-2023,CA Paranaense,1 - 0,Botafogo FR
11-06-2023,America Mineiro,2 - 2,CA Paranaense
21-06-2023,Sao Paulo,2 - 1,CA Paranaense
24-06-2023,CA Paranaense,1 - 0,Corinthians
02-07-2023,CA Paranaense,2 - 2,SE Palmeiras
09-07-2023,Fortaleza EC,1 - 0,CA Paranaense
16-07-2023,CA Paranaense,2 - 0,EC Bahia
23-07-2023,Vasco da Gama,0 - 2,CA Paranaense
29-07-2023,CA Paranaense,3 - 3,Cruzeiro
05-08-2023,Santos,1 - 1,CA Paranaense
15-08-2023,CA Paranaense,2 - 0,Cuiaba
21-08-2023,Goiás EC,1 - 1,CA Paranaense
27-08-2023,CA Paranaense,2 - 2,Fluminense FC
02-09-2023,CA Paranaense,1 - 1,Atletico Mineiro
14-09-2023,Flamengo RJ,0 - 3,CA Paranaense
21-09-2023,CA Paranaense,2 - 1,Internacional RS
01-10-2023,Coritiba FBC,2 - 0,CA Paranaense
08-10-2023,CA Paranaense,? - ?,RB Bragantino
16-04-2023,Corinthians,2 - 1,Cruzeiro
23-04-2023,Goiás EC,3 - 1,Corinthians
29-04-2023,SE Palmeiras,2 - 1,Corinthians
08-05-2023,Corinthians,1 - 1,Fortaleza EC
11-05-2023,Botafogo FR,3 - 0,Corinthians
14-05-2023,Corinthians,1 - 1,Sao Paulo
21-05-2023,Flamengo RJ,1 - 0,Corinthians
28-05-2023,Corinthians,2 - 0,Fluminense FC
03-06-2023,America Mineiro,2 - 0,Corinthians
10-06-2023,Corinthians,1 - 1,Cuiaba
21-06-2023,Santos,0 - 2,Corinthians
24-06-2023,CA Paranaense,1 - 0,Corinthians
02-07-2023,Corinthians,0 - 1,RB Bragantino
08-07-2023,Atletico Mineiro,0 - 1,Corinthians
22-07-2023,EC Bahia,0 - 0,Corinthians
29-07-2023,Corinthians,3 - 1,Vasco da Gama
05-08-2023,Internacional RS,2 - 2,Corinthians
13-08-2023,Corinthians,3 - 1,Coritiba FBC
20-08-2023,Cruzeiro,1 - 1,Corinthians
27-08-2023,Corinthians,1 - 1,Goiás EC
03-09-2023,Corinthians,0 - 0,SE Palmeiras
14-09-2023,Fortaleza EC,2 - 1,Corinthians
19-09-2023,Corinthians,4 - 4,Grêmio Porto Al
22-09-2023,Corinthians,1 - 0,Botafogo FR
30-09-2023,Sao Paulo,2 - 1,Corinthians
08-10-2023,Corinthians,? - ?,Flamengo RJ
16-04-2023,Flamengo RJ,3 - 0,Coritiba FBC
23-04-2023,Coritiba FBC,0 - 3,Fortaleza EC
29-04-2023,Coritiba FBC,1 - 1,Sao Paulo
07-05-2023,EC Bahia,3 - 1,Coritiba FBC
11-05-2023,Coritiba FBC,1 - 1,Vasco da Gama
14-05-2023,CA Paranaense,3 - 2,Coritiba FBC
20-05-2023,Coritiba FBC,1 - 2,Atletico Mineiro
27-05-2023,Cuiaba,1 - 1,Coritiba FBC
04-06-2023,SE Palmeiras,3 - 1,Coritiba FBC
10-06-2023,Coritiba FBC,0 - 0,Santos
22-06-2023,Coritiba FBC,0 - 1,Internacional RS
25-06-2023,Grêmio Porto Al,5 - 1,Coritiba FBC
03-07-2023,Goiás EC,1 - 2,Coritiba FBC
08-07-2023,Coritiba FBC,3 - 1,America Mineiro
16-07-2023,Cruzeiro,0 - 0,Coritiba FBC
24-07-2023,Coritiba FBC,2 - 0,Fluminense FC
30-07-2023,Botafogo FR,4 - 1,Coritiba FBC
06-08-2023,Coritiba FBC,0 - 1,RB Bragantino
13-08-2023,Corinthians,3 - 1,Coritiba FBC
20-08-2023,Coritiba FBC,2 - 3,Flamengo RJ
27-08-2023,Fortaleza EC,3 - 1,Coritiba FBC
14-09-2023,Coritiba FBC,2 - 4,EC Bahia
21-09-2023,Vasco da Gama,5 - 1,Coritiba FBC
27-09-2023,Sao Paulo,2 - 1,Coritiba FBC
01-10-2023,Coritiba FBC,2 - 0,CA Paranaense
08-10-2023,Atletico Mineiro,? - ?,Coritiba FBC
16-04-2023,Corinthians,2 - 1,Cruzeiro
23-04-2023,Cruzeiro,1 - 0,Grêmio Porto Al
29-04-2023,RB Bragantino,0 - 3,Cruzeiro
06-05-2023,Cruzeiro,2 - 1,Santos
11-05-2023,Cruzeiro,0 - 2,Fluminense FC
14-05-2023,America Mineiro,0 - 4,Cruzeiro
22-05-2023,Cruzeiro,0 - 1,Cuiaba
27-05-2023,Flamengo RJ,1 - 1,Cruzeiro
03-06-2023,Cruzeiro,0 - 1,Atletico Mineiro
10-06-2023,EC Bahia,2 - 2,Cruzeiro
21-06-2023,Cruzeiro,0 - 1,Fortaleza EC
25-06-2023,Cruzeiro,1 - 0,Sao Paulo
02-07-2023,Internacional RS,0 - 0,Cruzeiro
08-07-2023,Vasco da Gama,0 - 1,Cruzeiro
16-07-2023,Cruzeiro,0 - 0,Coritiba FBC
23-07-2023,Cruzeiro,0 - 1,Goiás EC
29-07-2023,CA Paranaense,3 - 3,Cruzeiro
06-08-2023,Cruzeiro,0 - 0,Botafogo FR
14-08-2023,SE Palmeiras,1 - 0,Cruzeiro
20-08-2023,Cruzeiro,1 - 1,Corinthians
27-08-2023,Grêmio Porto Al,3 - 0,Cruzeiro
03-09-2023,Cruzeiro,0 - 0,RB Bragantino
14-09-2023,Santos,0 - 3,Cruzeiro
21-09-2023,Fluminense FC,1 - 0,Cruzeiro
01-10-2023,Cruzeiro,1 - 1,America Mineiro
15-10-2023,Cuiaba,? - ?,Cruzeiro
