title,author,length
The Movie of Me to the Movie of We,Raghu Markus,10 hrs and 36 mins
Reason to Believe,Rebecca Yarros,12 hrs and 54 mins
The House of Love and Death,Andrew Klavan,10 hrs and 25 mins
Twisted Obsession,S. Massery,9 hrs and 23 mins
Great Awakening,Alex Jones,12 hrs and 48 mins
The Warrior's Rune,Jared Ellis,6 hrs and 38 mins
The Wrong Wife,Maya Alden,8 hrs and 38 mins
Ecstasy Claimed,Setta Jay,8 hrs and 31 mins
Elizabeth Bennet’s Inheritance,Laraba Kendig,10 hrs and 44 mins
Red Sky Mourning,Jack Carr,15 hrs and 30 mins
The Proof of the Pudding,Rhys Bowen,Not Yet Known
Cruelest Vow,Piper Stone,9 hrs and 18 mins
Paid in Full,Brea Alepoú,10 hrs and 59 mins
Lucien,Grae Bryan,7 hrs and 51 mins
Crystal World,B.V. Larson,14 hrs and 26 mins
Sweet Sin,Helen Hardt,6 hrs and 19 mins
Exploring Home,A. American,11 hrs and 59 mins
Iron Flame,Rebecca Yarros,28 hrs and 16 mins
The Lone Wolf's Rejected Mate,Cate C. Wells,9 hrs and 16 mins
The Titan of Baleros,pirateaba,40 hrs and 55 mins
A Fire in the Flesh,Jennifer L. Armentrout,24 hrs and 3 mins
Mark of the Fool 4,J.M. Clarke,19 hrs and 45 mins
Only in Death,Dan Abnett,11 hrs and 28 mins
King Arthur and Her Knights: The Complete Series: Books 1-7,K. M. Shea,26 hrs and 52 mins
Fire and Song,Bryce O'Connor,32 hrs and 38 mins
The Face in the Water,Gregory Ashe,9 hrs and 12 mins
Preceptor,Terry Mancour,22 hrs and 13 mins
Fourth Wing (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,8 hrs
House of Flame and Shadow,Sarah J. Maas,Not Yet Known
"Tales from the Gas Station, Volume Four",Jack Townsend,14 hrs and 41 mins
The Great Disappearance,Dr. David Jeremiah,6 hrs and 25 mins
Think Twice,Harlan Coben,10 hrs
Genefather,Guy Haley,10 hrs and 14 mins
Super Sales on Super Heroes 6,William D. Arand,12 hrs and 35 mins
System Collapse,Martha Wells,6 hrs and 36 mins
My Name Is Barbra,Barbra Streisand,47 hrs
The Chaos Agent,Mark Greaney,Not Yet Known
Aftermath,Craig Alanson,21 hrs and 6 mins
Know What Matters,Ron Shaich,8 hrs and 30 mins
Show Off,Lani Lynn Vale,5 hrs and 42 mins
The Edge,David Baldacci,11 hrs and 45 mins
The Miracle Morning (Updated and Expanded Edition),Hal Elrod,7 hrs and 30 mins
Somewhere Beyond the Sea,TJ Klune,12 hrs
The Wuhan Cover-Up,Robert F. Kennedy Jr.,15 hrs and 50 mins
Inheritance,Nora Roberts,13 hrs and 51 mins
Outbound Flight,Timothy Zahn,14 hrs
Dungeon Diving 103,Bruce Sentar,12 hrs and 57 mins
With This Woman,Jodi Ellen Malpas,23 hrs and 53 mins
Survivor's Quest,Timothy Zahn,14 hrs
The Eye of the Bedlam Bride,Matt Dinniman,26 hrs and 46 mins
The Narrow Road Between Desires,Patrick Rothfuss,8 hrs
Murtagh,Christopher Paolini,24 hrs and 32 mins
The Laws of Human Nature,Robert Greene,28 hrs and 26 mins
The Olympian Affair,Jim Butcher,20 hrs and 23 mins
A Clash of Kings,George R.R. Martin,37 hrs and 12 mins
Slayers: A Buffyverse Story,Christopher Golden,8 hrs and 2 mins
Things We Left Behind,Lucy Score,19 hrs and 14 mins
Pine River,Tijan,13 hrs and 44 mins
The Fellowship of the Ring,J. R. R. Tolkien,22 hrs and 38 mins
Camino Ghosts,John Grisham,9 hrs
Going Infinite,Michael Lewis,8 hrs and 56 mins
Being Henry,Henry Winkler,9 hrs and 22 mins
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,9 hrs and 2 mins
Seraph,Lily Mayne,17 hrs and 50 mins
How to Be the Love You Seek,Dr. Nicole LePera,10 hrs
Choose Your Enemies Wisely,Patrick Bet-David,11 hrs
Sable Peak,Devney Perry,9 hrs and 43 mins
A Court of Wings and Ruin,Sarah J. Maas,25 hrs and 9 mins
Madame,Sara Cate,12 hrs and 5 mins
The Sky People,Ali Spooner,6 hrs and 1 min
"Apocalypse Redux, Book Four",Jakob H. Greif,15 hrs and 59 mins
The Complete Sinful Men Collection,Lauren Blakely,36 hrs and 38 mins
Dirty Thirty,Janet Evanovich,8 hrs and 2 mins
Understanding Type 2 Diabetes,Dr. Ashley Sullivan PharmD,3 hrs and 58 mins
Dragonfly in Amber,Diana Gabaldon,38 hrs and 54 mins
The House of Hidden Meanings,RuPaul,12 hrs
Song of Darkness,J.N. Chaney,10 hrs and 42 mins
A Storm of Swords,George R.R. Martin,47 hrs and 34 mins
Resurrection Walk,Michael Connelly,10 hrs and 30 mins
Too Good to Be True,Kristen Ashley,11 hrs and 59 mins
Areté,Brian Johnson,28 hrs
He Who Fights with Monsters 10,Shirtaloon,20 hrs
Hendo,Dan Henderson,10 hrs
The Innocent Sleep,Seanan McGuire,15 hrs and 18 mins
The Right Move,Liz Tomforde,14 hrs and 19 mins
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,Tess Lake,65 hrs and 31 mins
Butcher & Blackbird,Brynne Weaver,8 hrs and 43 mins
Sherlock Holmes,Arthur Conan Doyle,62 hrs and 52 mins
Butterfly 5,Ashley Antoinette,12 hrs and 19 mins
Lord of Chaos,Robert Jordan,41 hrs and 32 mins
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,8 hrs and 18 mins
The Great Hunt,Robert Jordan,26 hrs and 34 mins
The Broken Vows,Catharina Maura,15 hrs and 45 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,18 hrs and 32 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,21 hrs and 36 mins
Surrender,A.K. Evans,6 hrs and 51 mins
Blood on Their Hands,Mandy Matney,10 hrs
The Dragon Shifter's Mates Boxed Set Books 1-4,Eva Chase,23 hrs and 32 mins
Monster Hunter Memoirs: Fever,Larry Correia,12 hrs and 13 mins
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,26 hrs and 28 mins
Trials of Cydaria,SunriseCV,13 hrs and 16 mins
Empire of Storms,Sarah J. Maas,25 hrs and 18 mins
Tenacity,Dakota Krout,11 hrs and 42 mins
Light Bringer,Pierce Brown,30 hrs and 8 mins
Obsession Falls,Claire Kingsley,9 hrs and 38 mins
Queen of Shadows,Sarah J. Maas,20 hrs and 43 mins
A Mage's Guide to Wicky,AJ Sherwood,3 hrs and 16 mins
All the Little Raindrops,Mia Sheridan,13 hrs and 51 mins
[Psychokinetic] Eyeball Pulling,FreeID,22 hrs and 3 mins
Shadows of You,Catherine Cowles,10 hrs
Born of Blood and Ash,Jennifer L. Armentrout,24 hrs
The Polygamist’s Daughter,Anna LeBaron,8 hrs and 54 mins
Outlive,Peter Attia MD,17 hrs and 7 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,11 hrs and 49 mins
Brisingr,Christopher Paolini,29 hrs and 34 mins
Random in Death,J. D. Robb,10 hrs and 45 mins
Morning Star,Pierce Brown,21 hrs and 50 mins
Prequel,Rachel Maddow,13 hrs and 9 mins
The Gossip and the Grump,Pippa Grant,11 hrs and 12 mins
A Court of Silver Flames,Sarah J. Maas,26 hrs and 5 mins
Kombucha Curious,Duff McDonald,2 hrs and 47 mins
The Case of the Felonious Faire,Drew Hayes,7 hrs and 46 mins
Ignition,Seth Ring,14 hrs
The Way of Kings,Brandon Sanderson,45 hrs and 30 mins
Crown of Midnight,Sarah J. Maas,12 hrs and 43 mins
Heir of Fire,Sarah J. Maas,17 hrs and 56 mins
Duty,Michael Stephen Fuchs,8 hrs and 25 mins
The Secret,Lee Child,9 hrs and 14 mins
Rise of the Weakest Summoner: Volume VII,J.R. Saileri,19 hrs and 1 min
Kingdom of Ash,Sarah J. Maas,33 hrs and 11 mins
Hello Heartbreaker,Kelsie Hoss,9 hrs and 28 mins
Timeless,Travis Bagwell,27 hrs and 32 mins
The Union Street Bakery,Mary Ellen Taylor,11 hrs and 37 mins
Remarkably Bright Creatures,Shelby Van Pelt,11 hrs and 16 mins
Captured,Rosa Lee,15 hrs and 3 mins
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,20 hrs and 36 mins
Slay,Laurell K. Hamilton,12 hrs and 35 mins
A Court of Thorns and Roses,Sarah J. Maas,16 hrs and 7 mins
The Armor of Light,Ken Follett,21 hrs and 39 mins
House of Earth and Blood,Sarah J. Maas,27 hrs and 50 mins
He Who Fights with Monsters: A LitRPG Adventure,Shirtaloon,28 hrs and 56 mins
House of Sky and Breath,Sarah J. Maas,27 hrs and 42 mins
Forgot to Say Goodbye,S.L. Scott,12 hrs and 36 mins
The Well of Ascension,Brandon Sanderson,28 hrs and 56 mins
"Overlord, Vol. 11 (Light Novel)",Kugane Maruyama,10 hrs
The Ghost of Marlow House,Bobbi Holmes,9 hrs and 11 mins
The Wise Man's Fear,Patrick Rothfuss,42 hrs and 55 mins
The Fires of Heaven,Robert Jordan,36 hrs and 27 mins
It's Not You,Ramani Durvasula PhD,12 hrs
Hell Divers XI: Renegades,Nicholas Sansbury Smith,14 hrs
One Chance,Lena Hendrix,8 hrs and 54 mins
A Court of Mist and Fury,Sarah J. Maas,23 hrs and 16 mins
Move Fast and Fix Things,Anne Morriss,5 hrs and 17 mins
Never Finished,David Goggins,11 hrs and 6 mins
Worthy,Jada Pinkett Smith,14 hrs and 57 mins
An Accidental Death,Peter Grainger,6 hrs and 52 mins
The Oregon Trail,Francis Parkman,6 hrs and 6 mins
Oathbringer,Brandon Sanderson,55 hrs and 5 mins
The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,33 hrs and 45 mins
Journey to the Center of the Earth: A Signature Performance by Tim Curry,Jules Verne,8 hrs and 20 mins
A Court of Silver Flames (2 of 2) (Dramatized Adaptation),Sarah J. Maas,10 hrs and 33 mins
Tower of Dawn,Sarah J. Maas,22 hrs and 39 mins
The Shadow Rising,Robert Jordan,41 hrs and 13 mins
Retribution,TurtleMe,25 hrs and 25 mins
He Who Fights with Monsters 9,Shirtaloon,28 hrs and 3 mins
The Italian,T L Swan,16 hrs and 52 mins
The Republic of Pirates,Colin Woodard,13 hrs and 26 mins
Trapper Road,Rachel Caine,13 hrs and 2 mins
Go Tell the Bees That I Am Gone,Diana Gabaldon,49 hrs and 27 mins
American Girl,Wendy Walker,8 hrs and 39 mins
Pathfinders,JL Collins,9 hrs and 10 mins
Pride and Prejudice,Jane Austen,11 hrs and 35 mins
The Exchange,John Grisham,9 hrs and 1 min
The Fellowship of the Ring,J. R. R. Tolkien,19 hrs and 7 mins
He Who Fights with Monsters 8,Shirtaloon,18 hrs and 12 mins
Rhythm of War,Brandon Sanderson,57 hrs and 26 mins
Bright Young Women,Jessica Knoll,12 hrs and 58 mins
Be Useful,Arnold Schwarzenegger,6 hrs and 19 mins
The Running Grave,Robert Galbraith,34 hrs and 14 mins
The Amityville Horror,Jay Anson,6 hrs and 28 mins
Percy Jackson and the Olympians: The Chalice of the Gods,Rick Riordan,7 hrs and 5 mins
Vault,Nicoli Gonnella,25 hrs and 34 mins
Face-Off: Shadows Landing,Kathleen Brooks,7 hrs and 26 mins
The Women,Kristin Hannah,15 hrs
The Stand,Stephen King,47 hrs and 47 mins
Fell for the Wrong One,Tay Mo'Nae,11 hrs and 35 mins
Ghost Town Living,Brent Underwood,9 hrs
Jackson,Neven Iliev,18 hrs and 1 min
