title,author,length
Mark of the Fool 4,J.M. Clarke,19 hrs and 45 mins
The House of Love and Death,Andrew Klavan,10 hrs and 25 mins
Great Awakening,Alex Jones,12 hrs and 48 mins
The Eldritch Underneath,WillPowah,10 hrs and 17 mins
Married to a Rich Gangster,Tatum James,5 hrs and 56 mins
The Ultimate Pregnancy Survival Guide for First-Time Dads,Patrick Nguyen,3 hrs and 52 mins
The Proof of the Pudding,Rhys Bowen,Not Yet Known
Exploring Home,A. American,11 hrs and 59 mins
Crystal World,B.V. Larson,14 hrs and 26 mins
Only in Death,Dan Abnett,11 hrs and 28 mins
A Touch of Chaos,Scarlett St. Clair,12 hrs
Iron Flame,Rebecca Yarros,28 hrs and 16 mins
The Great Disappearance,Dr. David Jeremiah,6 hrs and 25 mins
Tatum Comes Home,Mica Stone,7 hrs and 13 mins
Emperor of Rome,Mary Beard,14 hrs and 43 mins
House of Flame and Shadow,Sarah J. Maas,Not Yet Known
With This Woman,Jodi Ellen Malpas,23 hrs and 53 mins
The Innocent Sleep,Seanan McGuire,15 hrs and 18 mins
Begrudgingly Engaged,Kelly Nelson,8 hrs and 28 mins
Somewhere Beyond the Sea,TJ Klune,12 hrs
