user,user_at,tweet
Python Coding,@clcoding,Learn Python in One Day and Learn It Well Python for Beginners with Hands-on Project The only book you need to start coding in Python immediately (Second Edition) By Jamie Chan (Free PDF) https://clcoding.com/2023/10/learn-python-in-one-day-and-learn-it.html…
Python Coding,@clcoding,Is this real?
ChatDOC,@chatdoc_ai,"It's free! Learn, research, create reports 100x faster! Ask AI anything about your files (.pdf, .doc, scanned files), get instant answers with cited sources!"
Sumanth,@Sumanth_077,"Microsoft is offering FREE courses to jumpstart your career in Python, Data Science and Machine Learning. Here are 3 free courses you don't want to miss:"
Rolling Stone,@RollingStone,Bring Out Your Dead Again: ‘Monty Python and the Holy Grail’ Is Headed Back to Theaters. https://rollingstone.com/tv-movies/tv-movie-news/monty-python-holy-grail-return-theaters-1234856201/…
Benjamin Bennett Alexander,@RealBenjizo,Python Question; Happy Wednesday What is the output of this code and why?
Mike Driscoll,@driscollis,"#Python Pro Tip You can load, parse and save JSON with Python's built-in `json` module Here are a couple of examples:"
Science girl,@gunsnrosesgirl3,The way this ball python looks like a banana
Lior,@AlphaSignalAI,This is a game changer. You can use ChatGPT to transform equations to python functions. Wish I had this 5 years ago.
Pablo Galindo Salgado,@pyblogsal,"In the Cpython core dev sprint we have started a project to improve the CPython REPL for Python 3.13+ The first achievement is showing proper exceptions with source, error messages and locations in the REPL tracebacks. You can compare the before and after in these images:"
Python Coding,@clcoding,Introduction to Python (Free Course) https://clcoding.com/2023/10/introduction-to-python-free-course.html…
Simone Conradi,@S_Conradi,"An image of a fractal created using Halley's root-finding method. Made with python, numpy and matplotlib."
Abhishek Anand,@fly2abhishek,"I extended the comparison to bun, python and java, here are the results:"
Simon Prince,@SimonPrinceAI,"I've now completed 45 of the 68 Python notebooks that accompany my forthcoming book ""Understanding Deep Learning"". They will really help if you are learning (or teaching) deep learning. Notebooks and book pdf at: http://udlbook.com Book published Dec. 5th by @mitpress ."
Adam D'Angelo,@adamdangelo,"New consideration in choosing a programming language: how good are LLMs at writing it? Pushes the balance significantly toward Python and away from new languages, at least until the next step function increase in LLM power."
tut_ml,@tut_ml,14 Best Data Science with Python Resources-> https://mltut.com/best-data-science-with-python-courses-online/… #MachineLearning #100DaysOfCode #IoT #100DaysOfMLCode #Python #javascript #Serverless #womenwhocode #cybersecurity #RStats #CodeNewbie #DataScience #DEVCommunity #BigData #Analytics #pythonprogramming #SQL #AI
Pratham,@Prathkum,"I get a lot of DMs asking the best resources to learn JavaScript, Python, web development, etc. Tough to answer. But, freeCodeCamp is literally the best thing ever happened to aspiring tech people. You can learn general programming, web development, machine learning, data…"
